metabolites,numerator,denominator,p-value,q-value,FC
4-hydroxybenzoate,GL405,N2,0.0818,0.1754,0.52
catechol,GL405,N2,0.0228,0.0947,0.03
anthraniloyl-O-glucose,GL405,N2,0.2862,0.2970,2.70
1-methylxanthine,GL405,N2,0.3267,0.3235,0.34
2-piperidinone,GL405,N2,0.0104,0.0637,8.14
3-dehydroshikimate,GL405,N2,0.6339,0.4357,1.99
"2,3-dihydroxyisovalerate",GL405,N2,0.3576,0.3408,0.51
dipicolinate,GL405,N2,1.0000,0.5406,1.00
2-isopropylmalate,GL405,N2,0.9174,0.5185,1.14
3-formylindole,GL405,N2,0.8687,0.5038,0.91
3-hydroxyindolin-2-one,GL405,N2,0.3908,0.3570,0.49
gluconate,GL405,N2,0.0149,0.0763,0.06
ciliatine (2-aminoethylphosphonate),GL405,N2,0.1262,0.2058,0.12
ergothioneine,GL405,N2,0.5430,0.4147,1.92
erythritol,GL405,N2,0.1463,0.2167,0.50
quinate,GL405,N2,0.7989,0.4836,1.33
histidine betaine (hercynine)*,GL405,N2,0.2746,0.2938,2.42
homostachydrine*,GL405,N2,0.0541,0.1376,0.23
mannonate*,GL405,N2,0.0059,0.0554,0.02
stachydrine,GL405,N2,0.0196,0.0877,0.17
ethyl alpha-glucopyranoside,GL405,N2,1.0000,0.5406,1.00
methyl glucopyranoside (alpha + beta),GL405,N2,0.0246,0.0960,0.10
harmane,GL405,N2,0.0637,0.1519,0.53
2-ketogluconate,GL405,N2,0.0147,0.0763,0.00
"9,10-methylenehexadecanoate**",GL405,N2,0.3011,0.3068,0.41
2-dimethylaminoethanol,GL405,N2,0.2408,0.2717,0.65
3-indoleglyoxylic acid,GL405,N2,0.3530,0.3380,0.60
ethyl beta-glucopyranoside,GL405,N2,0.2945,0.3028,4.53
pyochelin,GL405,N2,0.0261,0.0982,0.01
lactobacillic acid,GL405,N2,0.2846,0.2970,0.39
7-chlorotryptophan,GL405,N2,0.0435,0.1219,0.03
pyrrolnitrin,GL405,N2,0.0304,0.1034,0.02
5-fluorouracil,GL405,N2,0.1143,0.1942,4.97
salicylate,GL405,N2,0.5168,0.4066,0.55
S-carboxymethyl-cysteine,GL405,N2,0.9399,0.5210,1.06
sulfate*,GL405,N2,0.3591,0.3408,1.73
O-sulfo-tyrosine,GL405,N2,0.0264,0.0986,2.15
ectoine,GL405,N2,0.2986,0.3050,4.62
glycerol 2-phosphate,GL405,N2,0.1401,0.2136,0.59
"2,4-di-tert-butylphenol",GL405,N2,0.9284,0.5210,0.85
thioproline,GL405,N2,0.1908,0.2494,1.78
glutamine_degradant*,GL405,N2,0.0244,0.0960,0.36
X-10445,GL405,N2,0.7222,0.4618,0.63
X-11580,GL405,N2,0.0775,0.1683,3.06
X-11612,GL405,N2,0.1451,0.2164,0.43
X-11615,GL405,N2,0.1291,0.2058,0.45
X-11787,GL405,N2,0.2032,0.2568,2.74
X-11795,GL405,N2,0.0590,0.1439,8.21
X-12026,GL405,N2,0.7501,0.4699,1.18
X-12100,GL405,N2,0.1136,0.1942,1.42
X-12101,GL405,N2,0.8221,0.4877,1.12
X-12411,GL405,N2,0.0117,0.0686,0.13
X-12462,GL405,N2,0.3876,0.3560,0.62
X-13507,GL405,N2,0.6683,0.4462,0.43
X-14056,GL405,N2,0.1022,0.1860,2.36
X-14254,GL405,N2,0.4895,0.3972,2.64
X-15161,GL405,N2,0.8664,0.5038,1.13
X-15245,GL405,N2,0.9422,0.5210,1.28
X-15461,GL405,N2,0.9962,0.5406,1.04
X-15520,GL405,N2,0.6856,0.4497,0.86
X-15853,GL405,N2,0.1990,0.2541,3.05
X-16938,GL405,N2,0.3952,0.3594,0.67
X-17009,GL405,N2,0.0356,0.1089,0.32
X-17335,GL405,N2,0.4611,0.3870,0.73
X-17761,GL405,N2,0.7757,0.4798,0.98
X-17877,GL405,N2,0.2584,0.2835,5.18
X-18278,GL405,N2,0.3790,0.3500,5.56
X-20100,GL405,N2,0.2044,0.2575,3.39
X-20172,GL405,N2,0.5776,0.4210,1.96
X-20716,GL405,N2,0.8830,0.5100,0.83
X-20747,GL405,N2,0.1348,0.2116,8.14
X-21353,GL405,N2,0.6129,0.4328,0.83
X-21607,GL405,N2,0.0182,0.0847,0.20
X-21796,GL405,N2,0.1587,0.2237,1.63
X-22062,GL405,N2,0.2853,0.2970,3.55
X-22776,GL405,N2,0.5272,0.4102,1.49
X-23109,GL405,N2,0.6179,0.4328,0.70
X-23587,GL405,N2,0.0702,0.1591,0.34
X-23593,GL405,N2,0.4030,0.3649,1.36
X-23639,GL405,N2,0.5497,0.4167,1.59
X-23648,GL405,N2,0.0413,0.1172,11.85
X-23654,GL405,N2,0.0679,0.1547,0.29
X-23662,GL405,N2,0.5726,0.4193,1.08
X-23672,GL405,N2,0.4623,0.3873,0.69
X-23739,GL405,N2,0.3430,0.3355,1.71
X-24243,GL405,N2,0.9878,0.5389,0.51
X-24425,GL405,N2,0.2424,0.2717,1.90
X-24456,GL405,N2,0.5266,0.4102,1.30
X-24608,GL405,N2,0.6863,0.4497,0.94
X-24697,GL405,N2,0.8135,0.4875,0.80
X-24728,GL405,N2,0.7849,0.4801,0.78
X-24729,GL405,N2,0.0246,0.0960,8.00
X-24807,GL405,N2,0.0994,0.1859,0.13
X-25004,GL405,N2,0.5235,0.4096,0.59
X-25009,GL405,N2,0.5875,0.4259,0.83
X-25026,GL405,N2,0.9959,0.5406,0.82
X-25080,GL405,N2,0.1083,0.1901,6.10
X-25102,GL405,N2,0.5563,0.4177,0.59
X-25109,GL405,N2,0.0889,0.1790,0.25
X-25111,GL405,N2,0.5271,0.4102,0.57
X-25180,GL405,N2,0.9148,0.5185,0.87
X-25551,GL405,N2,0.0023,0.0449,9.42
X-25563,GL405,N2,0.0063,0.0574,5.12
X-25594,GL405,N2,0.0080,0.0610,3.52
X-25837,GL405,N2,0.8367,0.4939,1.58
X-25936,GL405,N2,0.4190,0.3711,1.61
X-25940,GL405,N2,0.6887,0.4497,0.74
X-25948,GL405,N2,0.6326,0.4357,0.93
X-25955,GL405,N2,0.0180,0.0847,6.93
X-25984,GL405,N2,0.1747,0.2375,1.87
X-26008,GL405,N2,0.4603,0.3870,2.26
X-26094,GL405,N2,0.1322,0.2084,2.05
X-26095,GL405,N2,0.8272,0.4893,1.58
X-26127,GL405,N2,0.5998,0.4296,0.58
glycine,CL2355,CK10,0.3779,1.0000,1.15
N-acetylglycine,CL2355,CK10,0.7801,1.0000,1.12
sarcosine,CL2355,CK10,0.9857,1.0000,1.34
dimethylglycine,CL2355,CK10,0.5415,1.0000,1.11
betaine,CL2355,CK10,0.8778,1.0000,0.81
betaine aldehyde,CL2355,CK10,0.6090,1.0000,0.77
serine,CL2355,CK10,0.9927,1.0000,0.85
N-acetylserine,CL2355,CK10,0.5864,1.0000,0.77
3-phosphoserine,CL2355,CK10,0.0383,1.0000,4.12
threonine,CL2355,CK10,0.6337,1.0000,0.81
N-acetylthreonine,CL2355,CK10,0.9208,1.0000,0.84
O-acetylhomoserine,CL2355,CK10,0.6304,1.0000,1.36
homoserine lactone,CL2355,CK10,0.4721,1.0000,2.03
alanine,CL2355,CK10,0.7854,1.0000,0.92
N-acetylalanine,CL2355,CK10,0.3412,1.0000,0.49
aspartate,CL2355,CK10,0.5384,1.0000,1.23
N-acetylaspartate (NAA),CL2355,CK10,0.1667,1.0000,1.91
asparagine,CL2355,CK10,0.4470,1.0000,1.78
N-acetylasparagine,CL2355,CK10,0.4555,1.0000,1.33
glutamate,CL2355,CK10,0.6170,1.0000,0.78
glutamine,CL2355,CK10,0.5378,1.0000,1.62
alpha-ketoglutaramate*,CL2355,CK10,0.2938,1.0000,1.99
N-acetylglutamate,CL2355,CK10,0.6392,1.0000,0.87
N-acetylglutamine,CL2355,CK10,0.9497,1.0000,1.00
4-hydroxyglutamate,CL2355,CK10,0.6189,1.0000,0.38
"glutamate, gamma-methyl ester",CL2355,CK10,0.6031,1.0000,0.71
S-1-pyrroline-5-carboxylate,CL2355,CK10,0.9229,1.0000,0.92
propionylglutamine,CL2355,CK10,0.4076,1.0000,1.38
histidine,CL2355,CK10,0.8519,1.0000,0.87
1-methylhistidine,CL2355,CK10,0.1755,1.0000,1.71
3-methylhistidine,CL2355,CK10,0.6785,1.0000,1.21
N-acetylhistidine,CL2355,CK10,0.7004,1.0000,0.77
N-acetyl-3-methylhistidine*,CL2355,CK10,0.4062,1.0000,1.42
N-acetyl-1-methylhistidine*,CL2355,CK10,0.6638,1.0000,1.16
trans-urocanate,CL2355,CK10,0.5425,1.0000,1.36
cis-urocanate,CL2355,CK10,0.4617,1.0000,1.42
imidazole propionate,CL2355,CK10,0.1078,1.0000,1.87
formiminoglutamate,CL2355,CK10,0.2454,1.0000,1.83
imidazole lactate,CL2355,CK10,0.8499,1.0000,1.03
1-methyl-5-imidazoleacetate,CL2355,CK10,0.6258,1.0000,1.39
1-ribosyl-imidazoleacetate*,CL2355,CK10,0.6472,1.0000,0.82
4-imidazoleacetate,CL2355,CK10,0.6513,1.0000,1.14
N-acetylhistamine,CL2355,CK10,0.3994,1.0000,1.44
histidine methyl ester,CL2355,CK10,0.3006,1.0000,0.59
lysine,CL2355,CK10,0.5934,1.0000,4.58
N2-acetyllysine,CL2355,CK10,0.1347,1.0000,0.54
N6-acetyllysine,CL2355,CK10,0.8617,1.0000,0.58
"N2,N6-diacetyllysine",CL2355,CK10,0.9442,1.0000,0.87
N6-methyllysine,CL2355,CK10,0.4426,1.0000,0.41
"N6,N6,N6-trimethyllysine",CL2355,CK10,0.9578,1.0000,1.05
"hydroxy-N6,N6,N6-trimethyllysine*",CL2355,CK10,0.1795,1.0000,1.47
5-hydroxylysine,CL2355,CK10,0.9145,1.0000,0.83
fructosyllysine,CL2355,CK10,0.5199,1.0000,1.60
saccharopine,CL2355,CK10,0.5548,1.0000,1.21
2-aminoadipate,CL2355,CK10,0.5062,1.0000,1.44
2-oxoadipate,CL2355,CK10,0.6718,1.0000,0.92
pipecolate,CL2355,CK10,0.4316,1.0000,1.96
6-oxopiperidine-2-carboxylate,CL2355,CK10,0.8263,1.0000,0.95
cadaverine,CL2355,CK10,0.7069,1.0000,0.84
N-acetyl-cadaverine,CL2355,CK10,0.8726,1.0000,0.80
5-aminovalerate,CL2355,CK10,0.9652,1.0000,0.85
"N,N,N-trimethyl-5-aminovalerate",CL2355,CK10,0.7759,1.0000,0.83
phenylalanine,CL2355,CK10,0.9219,1.0000,0.95
N-acetylphenylalanine,CL2355,CK10,0.8259,1.0000,0.56
phenylpyruvate,CL2355,CK10,0.6435,1.0000,0.33
phenyllactate (PLA),CL2355,CK10,0.4900,1.0000,0.64
phenethylamine,CL2355,CK10,0.8074,1.0000,0.89
phenylacetate,CL2355,CK10,0.8010,1.0000,0.87
2-hydroxyphenylacetate,CL2355,CK10,0.8981,1.0000,1.14
4-hydroxyphenylacetate,CL2355,CK10,0.5784,1.0000,0.78
tyrosine,CL2355,CK10,0.6628,1.0000,0.79
N-acetyltyrosine,CL2355,CK10,0.9920,1.0000,1.23
tyramine,CL2355,CK10,0.7246,1.0000,1.18
4-hydroxyphenylpyruvate,CL2355,CK10,0.4562,1.0000,0.47
homogentisate,CL2355,CK10,0.9270,1.0000,0.62
3-(4-hydroxyphenyl)lactate,CL2355,CK10,0.3904,1.0000,0.62
dopamine,CL2355,CK10,0.5641,1.0000,1.19
o-tyrosine,CL2355,CK10,0.8889,1.0000,0.87
O-methyltyrosine,CL2355,CK10,0.7633,1.0000,0.81
gentisate,CL2355,CK10,0.8074,1.0000,1.28
N-formylphenylalanine,CL2355,CK10,0.4792,1.0000,0.53
tryptophan,CL2355,CK10,0.5154,1.0000,1.19
N-acetyltryptophan,CL2355,CK10,0.8855,1.0000,1.58
C-glycosyltryptophan,CL2355,CK10,0.0033,0.4683,1.91
oxindolylalanine,CL2355,CK10,0.1623,1.0000,1.66
N-formylkynurenine,CL2355,CK10,0.4808,1.0000,1.26
kynurenine,CL2355,CK10,0.9105,1.0000,0.70
kynurenate,CL2355,CK10,0.7405,1.0000,0.79
N-formylanthranilic acid,CL2355,CK10,0.4913,1.0000,0.75
anthranilate,CL2355,CK10,0.8943,1.0000,0.89
picolinate,CL2355,CK10,0.8978,1.0000,1.03
N-acetylserotonin,CL2355,CK10,0.7590,1.0000,1.04
indolelactate,CL2355,CK10,0.5745,1.0000,0.71
indoleacetate,CL2355,CK10,0.7914,1.0000,0.61
tryptophol,CL2355,CK10,0.9430,1.0000,0.89
indole-3-carboxylate,CL2355,CK10,0.2411,1.0000,1.84
leucine,CL2355,CK10,0.8144,1.0000,0.99
N-acetylleucine,CL2355,CK10,0.8050,1.0000,0.70
4-methyl-2-oxopentanoate,CL2355,CK10,0.6806,1.0000,0.40
alpha-hydroxyisocaproate,CL2355,CK10,0.6640,1.0000,0.75
isovaleryl/2-methylbutyryl CoA,CL2355,CK10,0.7101,1.0000,0.50
isovalerate (i5:0),CL2355,CK10,0.8854,1.0000,0.75
isovalerylglycine,CL2355,CK10,0.8245,1.0000,1.02
isovalerylcarnitine (C5),CL2355,CK10,0.4358,1.0000,0.70
beta-hydroxyisovalerate,CL2355,CK10,0.5577,1.0000,0.71
beta-hydroxyisovaleroylcarnitine,CL2355,CK10,0.1387,1.0000,1.64
beta-hydroxyisovalerylglycine,CL2355,CK10,0.7355,1.0000,1.13
3-methylglutaconate,CL2355,CK10,0.4797,1.0000,1.39
isoleucine,CL2355,CK10,0.6532,1.0000,1.15
N-acetylisoleucine,CL2355,CK10,0.6457,1.0000,1.20
3-methyl-2-oxovalerate,CL2355,CK10,0.9007,1.0000,0.54
2-hydroxy-3-methylvalerate,CL2355,CK10,0.7200,1.0000,0.76
2-methylbutyrylcarnitine (C5),CL2355,CK10,0.7383,1.0000,0.91
tiglylcarnitine (C5:1-DC),CL2355,CK10,0.4540,1.0000,1.54
ethylmalonate,CL2355,CK10,0.9459,1.0000,0.95
methylsuccinate,CL2355,CK10,0.6916,1.0000,1.34
valine,CL2355,CK10,0.6946,1.0000,1.07
N-acetylvaline,CL2355,CK10,0.8701,1.0000,0.90
3-methyl-2-oxobutyrate,CL2355,CK10,0.9294,1.0000,0.52
alpha-hydroxyisovalerate,CL2355,CK10,0.7469,1.0000,0.83
isobutyrylcarnitine (C4),CL2355,CK10,0.9353,1.0000,0.96
3-hydroxyisobutyrate,CL2355,CK10,0.6380,1.0000,1.13
methionine,CL2355,CK10,0.9762,1.0000,0.79
N-acetylmethionine,CL2355,CK10,0.8832,1.0000,0.73
N-formylmethionine,CL2355,CK10,0.8832,1.0000,0.69
methionine sulfone,CL2355,CK10,0.5879,1.0000,0.64
methionine sulfoxide,CL2355,CK10,0.2028,1.0000,0.58
N-acetylmethionine sulfoxide,CL2355,CK10,0.2775,1.0000,0.67
S-adenosylmethionine (SAM),CL2355,CK10,0.1194,1.0000,8.27
S-adenosylhomocysteine (SAH),CL2355,CK10,0.3668,1.0000,3.96
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CL2355,CK10,0.2084,1.0000,1.52
2-hydroxy-4-(methylthio)butanoic acid,CL2355,CK10,0.7150,1.0000,0.88
cystathionine,CL2355,CK10,0.5149,1.0000,1.55
cysteine,CL2355,CK10,0.7829,1.0000,1.11
N-acetylcysteine,CL2355,CK10,0.8394,1.0000,0.80
S-methylcysteine,CL2355,CK10,0.7786,1.0000,1.08
S-methylcysteine sulfoxide,CL2355,CK10,0.8958,1.0000,0.49
cysteine s-sulfate,CL2355,CK10,0.8672,1.0000,0.99
cystine,CL2355,CK10,0.6697,1.0000,0.71
lanthionine,CL2355,CK10,0.4707,1.0000,1.29
hypotaurine,CL2355,CK10,0.7868,1.0000,0.95
taurine,CL2355,CK10,0.7757,1.0000,1.31
N-acetyltaurine,CL2355,CK10,0.5446,1.0000,1.27
3-sulfo-alanine,CL2355,CK10,0.9328,1.0000,0.48
cyano-alanine,CL2355,CK10,0.3663,1.0000,0.59
arginine,CL2355,CK10,0.6036,1.0000,1.15
argininosuccinate,CL2355,CK10,0.9384,1.0000,1.05
urea,CL2355,CK10,0.8633,1.0000,1.19
ornithine,CL2355,CK10,0.1393,1.0000,2.12
3-amino-2-piperidone,CL2355,CK10,0.8668,1.0000,1.33
2-oxoarginine*,CL2355,CK10,0.9997,1.0000,0.78
citrulline,CL2355,CK10,0.9359,1.0000,0.85
homoarginine,CL2355,CK10,0.3295,1.0000,0.52
homocitrulline,CL2355,CK10,0.9683,1.0000,1.04
proline,CL2355,CK10,0.8698,1.0000,0.90
dimethylarginine (SDMA + ADMA),CL2355,CK10,0.9147,1.0000,1.02
N-acetylarginine,CL2355,CK10,0.4657,1.0000,1.26
N-delta-acetylornithine,CL2355,CK10,0.7690,1.0000,0.89
trans-4-hydroxyproline,CL2355,CK10,0.7030,1.0000,1.94
pro-hydroxy-pro,CL2355,CK10,0.9434,1.0000,0.64
N-methylproline,CL2355,CK10,0.5675,1.0000,1.21
N-monomethylarginine,CL2355,CK10,0.7641,1.0000,1.05
argininate*,CL2355,CK10,0.4314,1.0000,1.59
creatine,CL2355,CK10,0.8692,1.0000,1.16
agmatine,CL2355,CK10,0.7351,1.0000,1.19
acetylagmatine,CL2355,CK10,0.1919,1.0000,3.93
putrescine,CL2355,CK10,0.7872,1.0000,1.21
N-acetylputrescine,CL2355,CK10,0.8989,1.0000,1.07
N-carbamoylputrescine,CL2355,CK10,0.7980,1.0000,2.75
isoputreanine,CL2355,CK10,0.5675,1.0000,0.15
N-acetyl-isoputreanine,CL2355,CK10,0.5624,1.0000,0.14
spermidine,CL2355,CK10,0.8109,1.0000,1.10
N('1)-acetylspermidine,CL2355,CK10,0.0891,1.0000,2.32
diacetylspermidine*,CL2355,CK10,0.6516,1.0000,1.28
spermine,CL2355,CK10,0.6731,1.0000,1.65
N(1)-acetylspermine,CL2355,CK10,0.0862,1.0000,4.08
"N1,N12-diacetylspermine",CL2355,CK10,0.5262,1.0000,0.52
S-adenosylmethioninamine,CL2355,CK10,0.0331,1.0000,6.03
5-methylthioadenosine (MTA),CL2355,CK10,0.0128,0.7285,5.27
4-acetamidobutanoate,CL2355,CK10,0.9702,1.0000,1.12
4-guanidinobutanoate,CL2355,CK10,0.8368,1.0000,0.43
"glutathione, reduced (GSH)",CL2355,CK10,0.9355,1.0000,0.53
"glutathione, oxidized (GSSG)",CL2355,CK10,0.6781,1.0000,1.17
cysteine-glutathione disulfide,CL2355,CK10,0.9730,1.0000,1.09
cysteinylglycine,CL2355,CK10,0.3293,1.0000,1.78
cysteinylglycine disulfide*,CL2355,CK10,0.9869,1.0000,0.79
5-oxoproline,CL2355,CK10,0.6906,1.0000,0.55
2-hydroxybutyrate/2-hydroxyisobutyrate,CL2355,CK10,0.7726,1.0000,0.77
ophthalmate,CL2355,CK10,0.5023,1.0000,0.83
"S-(1,2-dicarboxyethyl)glutathione",CL2355,CK10,0.0263,1.0000,3.07
CoA-glutathione*,CL2355,CK10,0.9027,1.0000,0.76
gamma-glutamylalanine,CL2355,CK10,0.5674,1.0000,2.26
gamma-glutamylcysteine,CL2355,CK10,0.6572,1.0000,0.83
gamma-glutamylglutamate,CL2355,CK10,0.9634,1.0000,1.00
gamma-glutamylglutamine,CL2355,CK10,0.9512,1.0000,0.48
gamma-glutamylglycine,CL2355,CK10,0.5452,1.0000,1.36
gamma-glutamylhistidine,CL2355,CK10,0.9229,1.0000,0.73
gamma-glutamylisoleucine*,CL2355,CK10,0.7757,1.0000,0.95
gamma-glutamylleucine,CL2355,CK10,0.7810,1.0000,1.08
gamma-glutamyl-alpha-lysine,CL2355,CK10,0.5705,1.0000,1.34
gamma-glutamylmethionine,CL2355,CK10,0.9723,1.0000,0.66
gamma-glutamylphenylalanine,CL2355,CK10,0.9262,1.0000,0.49
gamma-glutamylthreonine,CL2355,CK10,0.8462,1.0000,1.19
gamma-glutamyltyrosine,CL2355,CK10,0.5779,1.0000,0.50
gamma-glutamylvaline,CL2355,CK10,0.7888,1.0000,0.36
gamma-glutamylserine,CL2355,CK10,0.6738,1.0000,1.27
gamma-glutamylcitrulline*,CL2355,CK10,0.4843,1.0000,6.30
leucylhydroxyproline*,CL2355,CK10,0.5340,1.0000,1.35
alanylleucine,CL2355,CK10,0.5362,1.0000,0.19
cyclo(gly-pro),CL2355,CK10,0.2519,1.0000,1.32
glycylisoleucine,CL2355,CK10,0.6764,1.0000,0.41
glycylleucine,CL2355,CK10,0.4471,1.0000,0.26
glycylvaline,CL2355,CK10,0.6507,1.0000,0.42
histidylalanine,CL2355,CK10,0.4901,1.0000,0.21
isoleucylglycine,CL2355,CK10,0.7264,1.0000,0.50
leucylalanine,CL2355,CK10,0.2865,1.0000,0.29
leucylglycine,CL2355,CK10,0.3985,1.0000,0.35
lysylleucine,CL2355,CK10,0.8543,1.0000,0.29
phenylalanylalanine,CL2355,CK10,0.4712,1.0000,0.28
phenylalanylglycine,CL2355,CK10,0.3878,1.0000,0.45
phenylalanylhydroxyproline*,CL2355,CK10,0.7312,1.0000,1.13
prolylglycine,CL2355,CK10,0.8530,1.0000,0.75
threonylphenylalanine,CL2355,CK10,0.7480,1.0000,0.36
tyrosylglycine,CL2355,CK10,0.1906,1.0000,0.28
valylglutamine,CL2355,CK10,0.6830,1.0000,0.42
valylglycine,CL2355,CK10,0.7845,1.0000,0.65
valylleucine,CL2355,CK10,0.7093,1.0000,0.18
leucylglutamine*,CL2355,CK10,0.7446,1.0000,0.35
alanyl-glutamyl-meso-diaminopimelate,CL2355,CK10,0.2980,1.0000,0.35
phenylacetylcarnitine,CL2355,CK10,0.3673,1.0000,0.44
phenylacetylglutamine,CL2355,CK10,0.8012,1.0000,1.20
"N,N-dimethyl-pro-pro",CL2355,CK10,0.0703,1.0000,1.32
"1,5-anhydroglucitol (1,5-AG)",CL2355,CK10,0.0639,1.0000,1.85
glucose,CL2355,CK10,0.9265,1.0000,1.23
glucose 6-phosphate,CL2355,CK10,0.2653,1.0000,0.42
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CL2355,CK10,0.7820,1.0000,1.18
dihydroxyacetone phosphate (DHAP),CL2355,CK10,0.7472,1.0000,1.18
2-phosphoglycerate,CL2355,CK10,0.5436,1.0000,1.60
3-phosphoglycerate,CL2355,CK10,0.4067,1.0000,1.86
phosphoenolpyruvate (PEP),CL2355,CK10,0.4011,1.0000,2.17
pyruvate,CL2355,CK10,0.8139,1.0000,1.38
lactate,CL2355,CK10,0.9135,1.0000,1.01
glycerate,CL2355,CK10,0.7661,1.0000,1.12
6-phosphogluconate,CL2355,CK10,0.7296,1.0000,1.04
ribose 1-phosphate,CL2355,CK10,0.6529,1.0000,0.82
sedoheptulose-7-phosphate,CL2355,CK10,0.7500,1.0000,1.08
ribose,CL2355,CK10,0.8068,1.0000,0.78
ribitol,CL2355,CK10,0.7767,1.0000,1.08
ribonate,CL2355,CK10,0.7253,1.0000,0.41
arabitol/xylitol,CL2355,CK10,0.7978,1.0000,1.08
arabonate/xylonate,CL2355,CK10,0.8891,1.0000,1.33
sedoheptulose,CL2355,CK10,0.8425,1.0000,0.84
lyxonate,CL2355,CK10,0.9629,1.0000,0.96
maltotetraose,CL2355,CK10,0.2986,1.0000,0.31
maltotriose,CL2355,CK10,0.8330,1.0000,0.76
maltose,CL2355,CK10,0.9365,1.0000,0.84
lactobionate,CL2355,CK10,0.4883,1.0000,0.33
trehalose,CL2355,CK10,0.9212,1.0000,0.93
trehalose 6-phosphate,CL2355,CK10,0.2708,1.0000,0.38
mannitol/sorbitol,CL2355,CK10,0.9557,1.0000,1.28
mannose,CL2355,CK10,0.7322,1.0000,0.88
galactitol (dulcitol),CL2355,CK10,0.9107,1.0000,1.06
UDP-glucose,CL2355,CK10,0.2972,1.0000,0.52
UDP-galactose,CL2355,CK10,0.2517,1.0000,0.60
UDP-glucuronate,CL2355,CK10,0.6287,1.0000,0.61
UDP-N-acetylglucosamine/galactosamine,CL2355,CK10,0.8803,1.0000,0.95
deoxythymidine diphosphate-rhamnose,CL2355,CK10,0.5527,1.0000,0.72
glucosamine-6-phosphate,CL2355,CK10,0.1500,1.0000,0.38
glucuronate,CL2355,CK10,0.5222,1.0000,1.09
diacetylchitobiose,CL2355,CK10,0.6126,1.0000,0.88
N-acetylglucosamine 6-phosphate,CL2355,CK10,0.5693,1.0000,0.64
N-acetyl-glucosamine 1-phosphate,CL2355,CK10,0.4537,1.0000,0.52
N-acetylmuramate,CL2355,CK10,0.3831,1.0000,0.50
N-acetylglucosaminylasparagine,CL2355,CK10,0.6195,1.0000,0.80
erythronate*,CL2355,CK10,0.9197,1.0000,0.98
N-acetylglucosamine/N-acetylgalactosamine,CL2355,CK10,0.9902,1.0000,1.00
N6-carboxymethyllysine,CL2355,CK10,0.5593,1.0000,1.32
citrate,CL2355,CK10,0.7062,1.0000,1.68
aconitate [cis or trans],CL2355,CK10,0.3278,1.0000,0.52
isocitrate,CL2355,CK10,0.6710,1.0000,1.67
alpha-ketoglutarate,CL2355,CK10,0.8938,1.0000,0.81
succinylcarnitine (C4-DC),CL2355,CK10,0.1984,1.0000,1.65
succinate,CL2355,CK10,0.9285,1.0000,0.94
fumarate,CL2355,CK10,0.5055,1.0000,1.53
malate,CL2355,CK10,0.0837,1.0000,1.85
2-methylcitrate/homocitrate,CL2355,CK10,0.8516,1.0000,0.81
phosphate,CL2355,CK10,0.7197,1.0000,1.19
acetyl CoA,CL2355,CK10,0.7046,1.0000,0.87
butyrate/isobutyrate (4:0),CL2355,CK10,0.9946,1.0000,0.89
caprate (10:0),CL2355,CK10,0.9238,1.0000,0.96
cis-4-decenoate (10:1n6)*,CL2355,CK10,0.6558,1.0000,0.98
10-undecenoate (11:1n1),CL2355,CK10,0.8054,1.0000,1.03
laurate (12:0),CL2355,CK10,0.6429,1.0000,0.81
5-dodecenoate (12:1n7),CL2355,CK10,0.4579,1.0000,0.85
myristate (14:0),CL2355,CK10,0.4052,1.0000,0.75
stearate (18:0),CL2355,CK10,0.3477,1.0000,0.60
nonadecanoate (19:0),CL2355,CK10,0.3221,1.0000,0.41
arachidate (20:0),CL2355,CK10,0.2732,1.0000,0.44
behenate (22:0)*,CL2355,CK10,0.3110,1.0000,0.35
myristoleate (14:1n5),CL2355,CK10,0.1306,1.0000,0.58
palmitoleate (16:1n7),CL2355,CK10,0.2124,1.0000,0.57
oleate/vaccenate (18:1),CL2355,CK10,0.8142,1.0000,0.84
eicosenoate (20:1),CL2355,CK10,0.9204,1.0000,0.98
erucate (22:1n9),CL2355,CK10,0.8570,1.0000,0.92
tetradecadienoate (14:2)*,CL2355,CK10,0.5578,1.0000,0.94
hexadecatrienoate (16:3n3),CL2355,CK10,0.2046,1.0000,0.45
heptadecatrienoate (17:3)*,CL2355,CK10,0.4182,1.0000,0.78
stearidonate (18:4n3),CL2355,CK10,0.0781,1.0000,0.48
eicosapentaenoate (EPA; 20:5n3),CL2355,CK10,0.6148,1.0000,0.70
docosapentaenoate (n3 DPA; 22:5n3),CL2355,CK10,0.8364,1.0000,1.05
docosatrienoate (22:3n3),CL2355,CK10,0.9092,1.0000,1.01
hexadecadienoate (16:2n6),CL2355,CK10,0.2566,1.0000,0.58
linoleate (18:2n6),CL2355,CK10,0.9096,1.0000,1.04
linolenate [alpha or gamma; (18:3n3 or 6)],CL2355,CK10,0.4424,1.0000,0.75
dihomo-linoleate (20:2n6),CL2355,CK10,0.1713,1.0000,1.87
dihomo-linolenate (20:3n3 or n6),CL2355,CK10,0.5967,1.0000,0.70
arachidonate (20:4n6),CL2355,CK10,0.0233,1.0000,0.51
docosadienoate (22:2n6),CL2355,CK10,0.8502,1.0000,0.78
