metabolites,numerator,denominator,p-value,q-value,FC
N-acetylhistamine,CL2355,CK10,0.8130,1.0000,1.30
histidine methyl ester,CL2355,CK10,0.0238,0.5531,3.33
lysine,CL2355,CK10,0.9565,1.0000,0.56
N2-acetyllysine,CL2355,CK10,0.0207,0.5126,0.45
N6-acetyllysine,CL2355,CK10,0.3964,1.0000,2.91
"N2,N6-diacetyllysine",CL2355,CK10,0.2825,0.9918,2.90
N6-methyllysine,CL2355,CK10,0.9283,1.0000,1.67
"N6,N6,N6-trimethyllysine",CL2355,CK10,0.8905,1.0000,1.09
"hydroxy-N6,N6,N6-trimethyllysine*",CL2355,CK10,0.6535,1.0000,1.13
5-hydroxylysine,CL2355,CK10,0.9818,1.0000,1.27
fructosyllysine,CL2355,CK10,0.0786,0.7633,2.62
saccharopine,CL2355,CK10,0.8272,1.0000,0.94
2-aminoadipate,CL2355,CK10,0.9956,1.0000,0.83
2-oxoadipate,CL2355,CK10,0.8412,1.0000,0.72
pipecolate,CL2355,CK10,0.1162,0.8095,3.80
6-oxopiperidine-2-carboxylate,CL2355,CK10,0.9179,1.0000,1.32
cadaverine,CL2355,CK10,0.8221,1.0000,0.88
N-acetyl-cadaverine,CL2355,CK10,0.0908,0.7792,0.24
5-aminovalerate,CL2355,CK10,0.6625,1.0000,1.45
"N,N,N-trimethyl-5-aminovalerate",CL2355,CK10,0.2430,0.9918,0.12
phenylalanine,CL2355,CK10,0.7776,1.0000,1.01
N-acetylphenylalanine,CL2355,CK10,0.7558,1.0000,0.96
phenylpyruvate,CL2355,CK10,0.2662,0.9918,0.53
phenyllactate (PLA),CL2355,CK10,0.8254,1.0000,0.78
phenethylamine,CL2355,CK10,0.2655,0.9918,0.51
phenylacetate,CL2355,CK10,0.5423,1.0000,1.38
2-hydroxyphenylacetate,CL2355,CK10,0.8097,1.0000,0.36
4-hydroxyphenylacetate,CL2355,CK10,0.4732,1.0000,0.62
tyrosine,CL2355,CK10,0.8565,1.0000,1.01
N-acetyltyrosine,CL2355,CK10,0.8032,1.0000,1.30
tyramine,CL2355,CK10,0.2693,0.9918,0.72
4-hydroxyphenylpyruvate,CL2355,CK10,0.0995,0.7792,0.42
homogentisate,CL2355,CK10,0.7652,1.0000,1.04
3-(4-hydroxyphenyl)lactate,CL2355,CK10,0.5164,1.0000,1.37
dopamine,CL2355,CK10,0.2111,0.9558,6.29
o-tyrosine,CL2355,CK10,0.1304,0.8589,0.46
O-methyltyrosine,CL2355,CK10,0.2657,0.9918,1.39
gentisate,CL2355,CK10,0.7418,1.0000,1.22
N-formylphenylalanine,CL2355,CK10,0.3133,1.0000,0.79
tryptophan,CL2355,CK10,0.5397,1.0000,1.33
N-acetyltryptophan,CL2355,CK10,0.9042,1.0000,0.75
C-glycosyltryptophan,CL2355,CK10,0.0000,0.0010,3.26
oxindolylalanine,CL2355,CK10,0.0862,0.7778,1.76
N-formylkynurenine,CL2355,CK10,0.6892,1.0000,1.12
kynurenine,CL2355,CK10,0.9860,1.0000,1.01
kynurenate,CL2355,CK10,0.8605,1.0000,1.12
N-formylanthranilic acid,CL2355,CK10,0.4199,1.0000,0.72
anthranilate,CL2355,CK10,0.6837,1.0000,1.45
picolinate,CL2355,CK10,0.4681,1.0000,1.40
N-acetylserotonin,CL2355,CK10,0.5303,1.0000,1.07
indolelactate,CL2355,CK10,0.9659,1.0000,1.11
indoleacetate,CL2355,CK10,0.5216,1.0000,0.32
tryptophol,CL2355,CK10,0.0817,0.7674,0.13
indole-3-carboxylate,CL2355,CK10,0.4977,1.0000,1.60
leucine,CL2355,CK10,0.6436,1.0000,0.85
N-acetylleucine,CL2355,CK10,0.3941,1.0000,0.67
4-methyl-2-oxopentanoate,CL2355,CK10,0.0970,0.7792,0.46
alpha-hydroxyisocaproate,CL2355,CK10,0.5402,1.0000,0.58
isovaleryl/2-methylbutyryl CoA,CL2355,CK10,0.5880,1.0000,1.81
isovalerate (i5:0),CL2355,CK10,0.6695,1.0000,0.76
isovalerylglycine,CL2355,CK10,0.9939,1.0000,0.99
isovalerylcarnitine (C5),CL2355,CK10,0.8650,1.0000,1.01
beta-hydroxyisovalerate,CL2355,CK10,0.8915,1.0000,0.94
beta-hydroxyisovaleroylcarnitine,CL2355,CK10,0.3009,1.0000,1.53
beta-hydroxyisovalerylglycine,CL2355,CK10,0.4606,1.0000,2.34
3-methylglutaconate,CL2355,CK10,0.1970,0.9558,2.14
isoleucine,CL2355,CK10,0.7150,1.0000,0.84
N-acetylisoleucine,CL2355,CK10,0.8703,1.0000,0.87
3-methyl-2-oxovalerate,CL2355,CK10,0.1107,0.8079,0.47
2-hydroxy-3-methylvalerate,CL2355,CK10,0.4940,1.0000,0.60
2-methylbutyrylcarnitine (C5),CL2355,CK10,0.6071,1.0000,0.68
tiglylcarnitine (C5:1-DC),CL2355,CK10,0.6595,1.0000,1.01
ethylmalonate,CL2355,CK10,0.5845,1.0000,1.73
methylsuccinate,CL2355,CK10,0.2651,0.9918,1.97
valine,CL2355,CK10,0.7073,1.0000,0.99
N-acetylvaline,CL2355,CK10,0.7560,1.0000,1.28
3-methyl-2-oxobutyrate,CL2355,CK10,0.0990,0.7792,0.48
alpha-hydroxyisovalerate,CL2355,CK10,0.2800,0.9918,0.62
isobutyrylcarnitine (C4),CL2355,CK10,0.6517,1.0000,1.15
3-hydroxyisobutyrate,CL2355,CK10,0.6647,1.0000,0.98
methionine,CL2355,CK10,0.5559,1.0000,0.89
N-acetylmethionine,CL2355,CK10,0.6597,1.0000,0.80
N-formylmethionine,CL2355,CK10,0.9927,1.0000,1.31
methionine sulfone,CL2355,CK10,0.2090,0.9558,0.41
methionine sulfoxide,CL2355,CK10,0.4262,1.0000,0.66
N-acetylmethionine sulfoxide,CL2355,CK10,0.0597,0.6632,0.44
S-adenosylmethionine (SAM),CL2355,CK10,0.0038,0.2676,63.65
S-adenosylhomocysteine (SAH),CL2355,CK10,0.0965,0.7792,14.06
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CL2355,CK10,0.0508,0.6370,1.71
2-hydroxy-4-(methylthio)butanoic acid,CL2355,CK10,0.9546,1.0000,1.00
cystathionine,CL2355,CK10,0.6512,1.0000,0.70
cysteine,CL2355,CK10,0.3796,1.0000,0.53
N-acetylcysteine,CL2355,CK10,0.4661,1.0000,0.54
S-methylcysteine,CL2355,CK10,0.3496,1.0000,0.50
S-methylcysteine sulfoxide,CL2355,CK10,0.6193,1.0000,1.29
cysteine s-sulfate,CL2355,CK10,0.8395,1.0000,1.37
cystine,CL2355,CK10,0.3870,1.0000,0.18
lanthionine,CL2355,CK10,0.6711,1.0000,1.04
hypotaurine,CL2355,CK10,0.7790,1.0000,0.82
taurine,CL2355,CK10,0.8297,1.0000,1.28
N-acetyltaurine,CL2355,CK10,0.9612,1.0000,0.96
3-sulfo-alanine,CL2355,CK10,0.6443,1.0000,1.21
cyano-alanine,CL2355,CK10,0.0493,0.6370,0.13
arginine,CL2355,CK10,0.8168,1.0000,0.83
argininosuccinate,CL2355,CK10,0.2752,0.9918,1.26
urea,CL2355,CK10,0.0388,0.6361,0.11
ornithine,CL2355,CK10,0.9825,1.0000,1.33
3-amino-2-piperidone,CL2355,CK10,0.9840,1.0000,1.47
2-oxoarginine*,CL2355,CK10,0.1178,0.8095,0.44
citrulline,CL2355,CK10,0.5647,1.0000,2.79
homoarginine,CL2355,CK10,0.4517,1.0000,1.46
homocitrulline,CL2355,CK10,0.3885,1.0000,3.44
proline,CL2355,CK10,0.5917,1.0000,0.94
dimethylarginine (SDMA + ADMA),CL2355,CK10,0.5092,1.0000,0.85
N-acetylarginine,CL2355,CK10,0.7418,1.0000,1.15
N-delta-acetylornithine,CL2355,CK10,0.5151,1.0000,0.93
trans-4-hydroxyproline,CL2355,CK10,0.3265,1.0000,3.43
pro-hydroxy-pro,CL2355,CK10,0.7362,1.0000,0.97
N-methylproline,CL2355,CK10,0.8308,1.0000,0.94
N-monomethylarginine,CL2355,CK10,0.2829,0.9918,0.95
argininate*,CL2355,CK10,0.5897,1.0000,1.12
creatine,CL2355,CK10,0.5858,1.0000,0.58
agmatine,CL2355,CK10,0.0633,0.6833,0.22
acetylagmatine,CL2355,CK10,0.2842,0.9918,0.06
putrescine,CL2355,CK10,0.0282,0.5891,0.31
N-acetylputrescine,CL2355,CK10,0.0555,0.6370,0.14
N-carbamoylputrescine,CL2355,CK10,0.8126,1.0000,0.52
isoputreanine,CL2355,CK10,0.7498,1.0000,2.97
N-acetyl-isoputreanine,CL2355,CK10,0.1719,0.9552,3.61
spermidine,CL2355,CK10,0.3234,1.0000,0.64
N('1)-acetylspermidine,CL2355,CK10,0.0995,0.7792,1.54
diacetylspermidine*,CL2355,CK10,0.6253,1.0000,0.57
spermine,CL2355,CK10,0.2995,1.0000,0.19
N(1)-acetylspermine,CL2355,CK10,0.1026,0.7792,2.71
"N1,N12-diacetylspermine",CL2355,CK10,0.2183,0.9785,1.00
S-adenosylmethioninamine,CL2355,CK10,0.0000,0.0074,156.33
5-methylthioadenosine (MTA),CL2355,CK10,0.0000,0.0013,37.65
4-acetamidobutanoate,CL2355,CK10,0.9035,1.0000,1.34
4-guanidinobutanoate,CL2355,CK10,0.8886,1.0000,1.27
"glutathione, reduced (GSH)",CL2355,CK10,0.3983,1.0000,0.40
"glutathione, oxidized (GSSG)",CL2355,CK10,0.4422,1.0000,0.81
cysteine-glutathione disulfide,CL2355,CK10,0.5643,1.0000,0.99
cysteinylglycine,CL2355,CK10,0.7506,1.0000,0.65
cysteinylglycine disulfide*,CL2355,CK10,0.7766,1.0000,0.68
5-oxoproline,CL2355,CK10,0.4196,1.0000,0.63
2-hydroxybutyrate/2-hydroxyisobutyrate,CL2355,CK10,0.4591,1.0000,1.74
ophthalmate,CL2355,CK10,0.8480,1.0000,0.83
"S-(1,2-dicarboxyethyl)glutathione",CL2355,CK10,0.6867,1.0000,0.79
CoA-glutathione*,CL2355,CK10,0.8007,1.0000,1.33
gamma-glutamylalanine,CL2355,CK10,0.7328,1.0000,1.12
gamma-glutamylcysteine,CL2355,CK10,0.5967,1.0000,0.38
gamma-glutamylglutamate,CL2355,CK10,0.5225,1.0000,1.18
gamma-glutamylglutamine,CL2355,CK10,0.7207,1.0000,1.79
gamma-glutamylglycine,CL2355,CK10,0.5399,1.0000,1.54
gamma-glutamylhistidine,CL2355,CK10,0.8935,1.0000,1.04
gamma-glutamylisoleucine*,CL2355,CK10,0.3567,1.0000,7.24
gamma-glutamylleucine,CL2355,CK10,0.6605,1.0000,4.11
gamma-glutamyl-alpha-lysine,CL2355,CK10,0.9632,1.0000,1.43
gamma-glutamylmethionine,CL2355,CK10,0.6670,1.0000,2.09
gamma-glutamylphenylalanine,CL2355,CK10,0.5816,1.0000,2.81
gamma-glutamylthreonine,CL2355,CK10,0.2639,0.9918,1.86
gamma-glutamyltyrosine,CL2355,CK10,0.7512,1.0000,1.08
gamma-glutamylvaline,CL2355,CK10,0.0486,0.6370,93.54
gamma-glutamylserine,CL2355,CK10,0.5880,1.0000,1.57
gamma-glutamylcitrulline*,CL2355,CK10,0.4018,1.0000,5.53
leucylhydroxyproline*,CL2355,CK10,0.7089,1.0000,1.58
alanylleucine,CL2355,CK10,0.6020,1.0000,0.91
cyclo(gly-pro),CL2355,CK10,0.9707,1.0000,1.01
glycylisoleucine,CL2355,CK10,0.5309,1.0000,1.15
glycylleucine,CL2355,CK10,0.7195,1.0000,0.98
glycylvaline,CL2355,CK10,0.5969,1.0000,1.02
histidylalanine,CL2355,CK10,0.6573,1.0000,0.47
isoleucylglycine,CL2355,CK10,0.4378,1.0000,0.52
leucylalanine,CL2355,CK10,0.4870,1.0000,0.49
leucylglycine,CL2355,CK10,0.4515,1.0000,0.55
lysylleucine,CL2355,CK10,0.8029,1.0000,1.02
phenylalanylalanine,CL2355,CK10,0.5127,1.0000,0.39
phenylalanylglycine,CL2355,CK10,0.3546,1.0000,0.29
phenylalanylhydroxyproline*,CL2355,CK10,1.0000,1.0000,1.00
prolylglycine,CL2355,CK10,0.3452,1.0000,0.84
threonylphenylalanine,CL2355,CK10,0.5989,1.0000,0.61
tyrosylglycine,CL2355,CK10,0.6742,1.0000,0.43
valylglutamine,CL2355,CK10,0.4011,1.0000,0.53
valylglycine,CL2355,CK10,0.2680,0.9918,0.50
valylleucine,CL2355,CK10,0.5078,1.0000,0.57
leucylglutamine*,CL2355,CK10,0.6543,1.0000,0.66
alanyl-glutamyl-meso-diaminopimelate,CL2355,CK10,0.5029,1.0000,0.54
phenylacetylcarnitine,CL2355,CK10,0.5428,1.0000,2.91
phenylacetylglutamine,CL2355,CK10,0.7968,1.0000,0.55
"N,N-dimethyl-pro-pro",CL2355,CK10,0.2285,0.9901,1.23
"1,5-anhydroglucitol (1,5-AG)",CL2355,CK10,0.0132,0.3906,2.10
glucose,CL2355,CK10,0.2424,0.9918,2.01
glucose 6-phosphate,CL2355,CK10,0.3509,1.0000,2.05
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CL2355,CK10,0.2364,0.9918,2.52
dihydroxyacetone phosphate (DHAP),CL2355,CK10,0.3202,1.0000,1.49
2-phosphoglycerate,CL2355,CK10,0.2488,0.9918,1.75
3-phosphoglycerate,CL2355,CK10,0.1417,0.8590,1.86
phosphoenolpyruvate (PEP),CL2355,CK10,0.1857,0.9558,1.61
pyruvate,CL2355,CK10,0.9145,1.0000,1.08
lactate,CL2355,CK10,0.4768,1.0000,1.16
glycerate,CL2355,CK10,0.4166,1.0000,0.62
6-phosphogluconate,CL2355,CK10,0.0626,0.6833,2.27
ribose 1-phosphate,CL2355,CK10,0.8633,1.0000,1.48
sedoheptulose-7-phosphate,CL2355,CK10,0.8558,1.0000,1.01
ribose,CL2355,CK10,0.6996,1.0000,0.47
ribitol,CL2355,CK10,0.6002,1.0000,1.44
ribonate,CL2355,CK10,0.0534,0.6370,0.04
arabitol/xylitol,CL2355,CK10,0.5976,1.0000,1.29
arabonate/xylonate,CL2355,CK10,0.2118,0.9558,2.26
sedoheptulose,CL2355,CK10,0.8578,1.0000,0.55
lyxonate,CL2355,CK10,0.6858,1.0000,0.68
maltotetraose,CL2355,CK10,0.5963,1.0000,0.32
maltotriose,CL2355,CK10,0.9378,1.0000,1.23
maltose,CL2355,CK10,0.4617,1.0000,1.45
lactobionate,CL2355,CK10,0.3957,1.0000,6.18
trehalose,CL2355,CK10,0.5552,1.0000,2.50
trehalose 6-phosphate,CL2355,CK10,1.0000,1.0000,1.00
mannitol/sorbitol,CL2355,CK10,0.2673,0.9918,1.58
mannose,CL2355,CK10,0.9950,1.0000,0.98
galactitol (dulcitol),CL2355,CK10,0.5287,1.0000,1.32
UDP-glucose,CL2355,CK10,0.5921,1.0000,1.58
UDP-galactose,CL2355,CK10,0.7732,1.0000,1.72
UDP-glucuronate,CL2355,CK10,0.6307,1.0000,2.15
UDP-N-acetylglucosamine/galactosamine,CL2355,CK10,0.6485,1.0000,1.11
deoxythymidine diphosphate-rhamnose,CL2355,CK10,0.6591,1.0000,1.10
glucosamine-6-phosphate,CL2355,CK10,0.2245,0.9785,2.19
glucuronate,CL2355,CK10,0.3674,1.0000,1.30
diacetylchitobiose,CL2355,CK10,0.4343,1.0000,1.98
N-acetylglucosamine 6-phosphate,CL2355,CK10,0.0265,0.5891,2.99
N-acetyl-glucosamine 1-phosphate,CL2355,CK10,0.0423,0.6370,3.42
N-acetylmuramate,CL2355,CK10,0.6840,1.0000,0.65
N-acetylglucosaminylasparagine,CL2355,CK10,0.0516,0.6370,2.77
erythronate*,CL2355,CK10,0.5268,1.0000,1.15
N-acetylglucosamine/N-acetylgalactosamine,CL2355,CK10,0.4677,1.0000,1.28
N6-carboxymethyllysine,CL2355,CK10,0.3644,1.0000,1.10
citrate,CL2355,CK10,0.7945,1.0000,0.90
aconitate [cis or trans],CL2355,CK10,0.9177,1.0000,0.79
isocitrate,CL2355,CK10,0.9320,1.0000,1.32
alpha-ketoglutarate,CL2355,CK10,0.6114,1.0000,0.91
succinylcarnitine (C4-DC),CL2355,CK10,0.4033,1.0000,1.22
succinate,CL2355,CK10,0.2831,0.9918,1.44
fumarate,CL2355,CK10,0.4045,1.0000,2.70
malate,CL2355,CK10,0.0785,0.7633,2.26
2-methylcitrate/homocitrate,CL2355,CK10,0.7236,1.0000,0.99
phosphate,CL2355,CK10,0.7173,1.0000,0.50
acetyl CoA,CL2355,CK10,0.1135,0.8095,1.84
butyrate/isobutyrate (4:0),CL2355,CK10,0.3848,1.0000,2.11
caprate (10:0),CL2355,CK10,0.0432,0.6370,9.82
cis-4-decenoate (10:1n6)*,CL2355,CK10,0.2735,0.9918,3.84
10-undecenoate (11:1n1),CL2355,CK10,0.9007,1.0000,0.96
laurate (12:0),CL2355,CK10,0.6874,1.0000,0.66
5-dodecenoate (12:1n7),CL2355,CK10,0.9497,1.0000,0.55
myristate (14:0),CL2355,CK10,0.9338,1.0000,0.67
stearate (18:0),CL2355,CK10,0.9663,1.0000,0.52
nonadecanoate (19:0),CL2355,CK10,0.3673,1.0000,0.44
arachidate (20:0),CL2355,CK10,0.9336,1.0000,0.41
behenate (22:0)*,CL2355,CK10,0.6145,1.0000,0.22
myristoleate (14:1n5),CL2355,CK10,0.6571,1.0000,1.02
palmitoleate (16:1n7),CL2355,CK10,0.7100,1.0000,0.88
oleate/vaccenate (18:1),CL2355,CK10,0.2017,0.9558,1.42
eicosenoate (20:1),CL2355,CK10,0.1914,0.9558,1.17
erucate (22:1n9),CL2355,CK10,0.1101,0.8079,1.38
tetradecadienoate (14:2)*,CL2355,CK10,0.7005,1.0000,0.55
hexadecatrienoate (16:3n3),CL2355,CK10,0.4925,1.0000,1.27
heptadecatrienoate (17:3)*,CL2355,CK10,0.5843,1.0000,1.53
stearidonate (18:4n3),CL2355,CK10,0.9459,1.0000,0.91
eicosapentaenoate (EPA; 20:5n3),CL2355,CK10,0.2051,0.9558,1.59
docosapentaenoate (n3 DPA; 22:5n3),CL2355,CK10,0.2013,0.9558,1.34
docosatrienoate (22:3n3),CL2355,CK10,0.0063,0.3347,5.74
hexadecadienoate (16:2n6),CL2355,CK10,0.6749,1.0000,1.09
linoleate (18:2n6),CL2355,CK10,0.0418,0.6370,2.24
linolenate [alpha or gamma; (18:3n3 or 6)],CL2355,CK10,0.3703,1.0000,1.41
dihomo-linoleate (20:2n6),CL2355,CK10,0.0065,0.3347,3.58
dihomo-linolenate (20:3n3 or n6),CL2355,CK10,0.1322,0.8589,1.62
arachidonate (20:4n6),CL2355,CK10,0.8783,1.0000,0.99
docosadienoate (22:2n6),CL2355,CK10,0.0004,0.0551,12.04
(12 or 13)-methylmyristate (a15:0 or i15:0),CL2355,CK10,0.3743,1.0000,1.35
(14 or 15)-methylpalmitate (a17:0 or i17:0),CL2355,CK10,0.1497,0.8834,1.55
(16 or 17)-methylstearate (a19:0 or i19:0),CL2355,CK10,0.1993,0.9558,2.31
glutarate (C5-DC),CL2355,CK10,0.6464,1.0000,2.87
2-hydroxyglutarate,CL2355,CK10,0.1883,0.9558,1.25
3-hydroxyadipate,CL2355,CK10,0.4991,1.0000,0.69
maleate,CL2355,CK10,0.2411,0.9918,0.25
suberate (C8-DC),CL2355,CK10,0.4911,1.0000,0.80
azelate (C9-DC),CL2355,CK10,0.2240,0.9785,1.17
sebacate (C10-DC),CL2355,CK10,0.2430,0.9918,2.17
dodecanedioate (C12-DC),CL2355,CK10,0.0550,0.6370,0.42
dodecadienoate (12:2)*,CL2355,CK10,0.7473,1.0000,0.77
tetradecanedioate (C14-DC),CL2355,CK10,0.0051,0.3243,0.46
hexadecanedioate (C16-DC),CL2355,CK10,0.0504,0.6370,0.49
hexadecenedioate (C16:1-DC)*,CL2355,CK10,0.0096,0.3364,0.12
octadecanedioate (C18-DC),CL2355,CK10,0.6313,1.0000,0.67
octadecenedioate (C18:1-DC),CL2355,CK10,0.7235,1.0000,1.11
octadecadienedioate (C18:2-DC)*,CL2355,CK10,0.0973,0.7792,1.95
nonadecanedioate (C19-DC),CL2355,CK10,0.0329,0.5891,2.88
propionylcarnitine (C3),CL2355,CK10,0.0311,0.5891,4.06
methylmalonate (MMA),CL2355,CK10,0.3603,1.0000,0.28
acetylcarnitine (C2),CL2355,CK10,0.7115,1.0000,0.84
octanoylcarnitine (C8),CL2355,CK10,0.1083,0.8079,0.42
"cis-3,4-methyleneheptanoylcarnitine",CL2355,CK10,0.0337,0.5891,0.38
pentadecanoylcarnitine (C15)*,CL2355,CK10,0.1424,0.8590,2.02
palmitoylcarnitine (C16),CL2355,CK10,0.9480,1.0000,1.08
margaroylcarnitine (C17)*,CL2355,CK10,0.7211,1.0000,1.43
stearoylcarnitine (C18),CL2355,CK10,0.1356,0.8590,0.50
arachidoylcarnitine (C20)*,CL2355,CK10,0.0305,0.5891,0.43
behenoylcarnitine (C22)*,CL2355,CK10,0.0457,0.6370,0.48
lignoceroylcarnitine (C24)*,CL2355,CK10,0.4633,1.0000,0.78
cerotoylcarnitine (C26)*,CL2355,CK10,0.4546,1.0000,0.99
3-decenoylcarnitine,CL2355,CK10,0.5724,1.0000,0.43
cis-4-decenoylcarnitine (C10:1),CL2355,CK10,0.3559,1.0000,2.12
undecenoylcarnitine (C11:1),CL2355,CK10,0.0013,0.1455,3.89
5-dodecenoylcarnitine (C12:1),CL2355,CK10,0.0089,0.3364,8.42
myristoleoylcarnitine (C14:1)*,CL2355,CK10,0.0020,0.1681,3.30
palmitoleoylcarnitine (C16:1)*,CL2355,CK10,0.2679,0.9918,5.26
oleoylcarnitine (C18:1),CL2355,CK10,0.8446,1.0000,2.81
eicosenoylcarnitine (C20:1)*,CL2355,CK10,0.6189,1.0000,1.20
linoleoylcarnitine (C18:2)*,CL2355,CK10,0.1884,0.9558,15.05
dihomo-linoleoylcarnitine (C20:2)*,CL2355,CK10,0.7290,1.0000,3.48
arachidonoylcarnitine (C20:4),CL2355,CK10,0.9481,1.0000,2.51
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,CL2355,CK10,0.9661,1.0000,1.45
(R)-3-hydroxybutyrylcarnitine,CL2355,CK10,0.4970,1.0000,0.70
(S)-3-hydroxybutyrylcarnitine,CL2355,CK10,0.3822,1.0000,0.69
3-hydroxyoctanoylcarnitine (1),CL2355,CK10,0.5092,1.0000,1.89
3-hydroxydecanoylcarnitine,CL2355,CK10,0.0110,0.3665,3.23
3-hydroxyoleoylcarnitine,CL2355,CK10,0.1536,0.8993,3.00
deoxycarnitine,CL2355,CK10,0.4941,1.0000,0.95
carnitine,CL2355,CK10,0.5091,1.0000,0.97
3-hydroxybutyrate (BHBA),CL2355,CK10,0.5286,1.0000,0.33
acetylcholine,CL2355,CK10,0.0093,0.3364,3.18
myristoylcholine*,CL2355,CK10,0.1876,0.9558,0.42
palmitoylcholine,CL2355,CK10,0.0914,0.7792,3.42
oleoylcholine,CL2355,CK10,0.3685,1.0000,3.72
linoleoylcholine*,CL2355,CK10,0.0745,0.7548,11.52
stearoylcholine*,CL2355,CK10,0.4291,1.0000,2.81
arachidonoylcholine,CL2355,CK10,0.6315,1.0000,2.01
eicosapentaenoylcholine,CL2355,CK10,0.6732,1.0000,0.78
4-hydroxybutyrate (GHB),CL2355,CK10,0.2236,0.9785,3.11
2-hydroxystearate,CL2355,CK10,0.7930,1.0000,0.52
2-hydroxybehenate,CL2355,CK10,0.9642,1.0000,0.70
2-hydroxylignocerate*,CL2355,CK10,0.0848,0.7739,0.48
3-hydroxyvalerate,CL2355,CK10,0.3691,1.0000,0.39
3-hydroxyhexanoate,CL2355,CK10,0.9634,1.0000,0.69
3-hydroxyoctanoate,CL2355,CK10,0.6084,1.0000,0.85
3-hydroxylaurate,CL2355,CK10,0.6711,1.0000,0.50
3-hydroxymyristate,CL2355,CK10,0.9410,1.0000,0.67
3-hydroxystearate,CL2355,CK10,0.7833,1.0000,0.59
5-hydroxyhexanoate,CL2355,CK10,0.4101,1.0000,1.51
8-hydroxyoctanoate,CL2355,CK10,0.0888,0.7792,2.47
"12,13-DiHOME",CL2355,CK10,0.0194,0.4958,7.47
"9,10-DiHOME",CL2355,CK10,0.0227,0.5439,18.11
"2S,3R-dihydroxybutyrate",CL2355,CK10,0.9253,1.0000,1.29
"2R,3R-dihydroxybutyrate",CL2355,CK10,0.6261,1.0000,1.29
"17,18-DiHETE",CL2355,CK10,0.1920,0.9558,0.55
5-HEPE,CL2355,CK10,0.9330,1.0000,0.83
oleoyl ethanolamide,CL2355,CK10,0.4953,1.0000,1.13
myristoyl ethanolamide,CL2355,CK10,0.0390,0.6361,0.33
palmitoyl ethanolamide,CL2355,CK10,0.1370,0.8590,0.54
stearoyl ethanolamide,CL2355,CK10,0.6663,1.0000,0.86
eicosapentaenoyl ethanolamide,CL2355,CK10,0.3853,1.0000,0.61
arachidonoyl ethanolamide,CL2355,CK10,0.0451,0.6370,0.36
linoleoyl ethanolamide,CL2355,CK10,0.1336,0.8589,8.59
linolenoyl ethanolamide,CL2355,CK10,0.6073,1.0000,0.71
palmitoleoyl ethanolamide*,CL2355,CK10,0.2118,0.9558,0.57
margaroyl ethanolamide*,CL2355,CK10,0.9080,1.0000,1.78
myo-inositol,CL2355,CK10,0.6500,1.0000,0.94
chiro-inositol,CL2355,CK10,1.0000,1.0000,1.00
choline,CL2355,CK10,0.8380,1.0000,0.93
choline phosphate,CL2355,CK10,0.1105,0.8079,1.84
cytidine 5'-diphosphocholine,CL2355,CK10,0.3885,1.0000,1.49
glycerophosphorylcholine (GPC),CL2355,CK10,0.0320,0.5891,2.10
phosphoethanolamine,CL2355,CK10,0.7922,1.0000,1.25
cytidine-5'-diphosphoethanolamine,CL2355,CK10,0.9049,1.0000,1.24
glycerophosphoethanolamine,CL2355,CK10,0.0688,0.7226,2.15
glycerophosphoserine*,CL2355,CK10,0.1769,0.9558,1.59
glycerophosphoinositol*,CL2355,CK10,0.6951,1.0000,1.11
trimethylamine N-oxide,CL2355,CK10,0.5067,1.0000,2.78
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),CL2355,CK10,0.2096,0.9558,0.78
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),CL2355,CK10,0.2101,0.9558,0.64
1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*,CL2355,CK10,0.5808,1.0000,0.79
"1,2-distearoyl-GPC (18:0/18:0)",CL2355,CK10,0.0055,0.3243,0.34
1-stearoyl-2-oleoyl-GPC (18:0/18:1),CL2355,CK10,0.8218,1.0000,1.09
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,CL2355,CK10,0.6453,1.0000,1.15
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),CL2355,CK10,0.2237,0.9785,0.64
"1,2-dioleoyl-GPC (18:1/18:1)",CL2355,CK10,0.7408,1.0000,1.08
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,CL2355,CK10,0.1299,0.8589,1.64
1-oleoyl-2-alpha-linolenoyl-GPC (18:1/18:3n3),CL2355,CK10,0.0814,0.7674,0.43
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,CL2355,CK10,0.6101,1.0000,1.53
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CL2355,CK10,0.8743,1.0000,1.05
"1,2-dipalmitoyl-GPE (16:0/16:0)*",CL2355,CK10,0.6654,1.0000,0.39
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,CL2355,CK10,0.0017,0.1633,5.69
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),CL2355,CK10,0.1577,0.9162,0.41
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,CL2355,CK10,0.5016,1.0000,0.91
