metabolite,numerator,denominator,p-value,q-value,FC
1-palmitoylglycerol (16:0),GL405,N2,0.0240,0.0540,10.97
1-palmitoleoylglycerol (16:1)*,GL405,N2,0.0101,0.0349,5.86
1-margaroylglycerol (17:0),GL405,N2,0.3039,0.2394,2.37
1-oleoylglycerol (18:1),GL405,N2,0.0308,0.0620,4.81
1-linoleoylglycerol (18:2),GL405,N2,0.0724,0.1005,2.36
1-linolenoylglycerol (18:3),GL405,N2,0.0003,0.0057,10.7
1-dihomo-linolenylglycerol (20:3),GL405,N2,0.0143,0.0426,3.69
1-arachidonylglycerol (20:4),GL405,N2,0.0471,0.0787,6.13
1-eicosapentaenoylglycerol (20:5)*,GL405,N2,0.0373,0.0676,7.39
2-palmitoleoylglycerol (16:1)*,GL405,N2,0.0109,0.0357,4.98
2-oleoylglycerol (18:1),GL405,N2,0.1410,0.1525,3.39
2-linoleoylglycerol (18:2),GL405,N2,0.0809,0.1089,3.29
2-arachidonoylglycerol (20:4),GL405,N2,0.0239,0.0540,6.24
2-eicosapentaenoylglycerol (20:5)*,GL405,N2,0.0462,0.0780,6.77
1-heptadecenoylglycerol (17:1)*,GL405,N2,0.0618,0.0920,4.1
2-heptadecenoylglycerol (17:1)*,GL405,N2,0.2371,0.2105,2.89
1-dihomo-linoleoylglycerol (20:2),GL405,N2,0.4319,0.2991,1.09
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],GL405,N2,0.4496,0.3052,1.36
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,GL405,N2,0.4710,0.3131,1.37
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,GL405,N2,0.0691,0.0976,2.18
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,GL405,N2,0.0886,0.1142,2.56
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,GL405,N2,0.5778,0.3526,1.87
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,GL405,N2,0.5351,0.3382,1.72
sphinganine,GL405,N2,0.0518,0.0835,1.65
phytosphingosine,GL405,N2,0.4176,0.2933,1.36
hexadecasphinganine (d16:0)*,GL405,N2,0.5710,0.3523,1.33
1-deoxysphinganine (m18:0),GL405,N2,0.9870,0.4752,0.74
"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",GL405,N2,0.5914,0.3575,1.63
heptadecasphingosine (d17:1),GL405,N2,0.0833,0.1104,1.86
3-hydroxy-3-methylglutarate,GL405,N2,0.9478,0.4656,0.29
7-dehydrocholesterol,GL405,N2,0.8720,0.4372,0.73
4-cholesten-3-one,GL405,N2,0.2626,0.2191,0.21
cholate,GL405,N2,0.0939,0.1182,0.21
glycocholate,GL405,N2,0.4774,0.3157,0.36
taurocholate,GL405,N2,0.6684,0.3863,0.51
deoxycholate,GL405,N2,0.5155,0.3326,0.56
glycodeoxycholate,GL405,N2,0.3383,0.2597,0.27
taurodeoxycholate,GL405,N2,0.3999,0.2864,0.41
inosine 5'-monophosphate (IMP),GL405,N2,0.1989,0.1891,1.99
inosine,GL405,N2,0.9795,0.4741,0.99
hypoxanthine,GL405,N2,0.6687,0.3863,0.7
xanthine,GL405,N2,0.2166,0.1994,1.61
xanthosine,GL405,N2,0.0501,0.0819,0.2
2'-deoxyinosine,GL405,N2,0.0003,0.0053,0.04
urate,GL405,N2,0.2609,0.2187,1.45
uric acid ribonucleoside*,GL405,N2,0.8522,0.4349,1.05
allantoin,GL405,N2,0.0325,0.0638,3.59
allantoic acid,GL405,N2,0.3673,0.2733,1.31
adenosine 5'-monophosphate (AMP),GL405,N2,0.0006,0.0077,10.67
adenosine 3'-monophosphate (3'-AMP),GL405,N2,0.1551,0.1624,3.84
adenosine 2'-monophosphate (2'-AMP),GL405,N2,0.3296,0.2551,0.39
"adenosine 3',5'-cyclic monophosphate (cAMP)",GL405,N2,0.2735,0.2242,2.17
"adenosine-2',3'-cyclic monophosphate",GL405,N2,0.0963,0.1190,4.9
"adenosine 3',5'-diphosphate",GL405,N2,0.1070,0.1279,2.13
adenylosuccinate,GL405,N2,0.0048,0.0215,11.06
adenosine,GL405,N2,0.2490,0.2142,1.6
adenine,GL405,N2,0.0054,0.0233,6.34
1-methyladenine,GL405,N2,0.0005,0.0071,0.25
N1-methyladenosine,GL405,N2,0.1698,0.1696,0.37
N6-methyladenosine,GL405,N2,0.5470,0.3421,1.39
isopentenyl adenosine,GL405,N2,0.2592,0.2187,0.46
N6-carbamoylthreonyladenosine,GL405,N2,0.0003,0.0057,0.45
2'-deoxyadenosine 5'-monophosphate,GL405,N2,0.2786,0.2260,0.26
N6-succinyladenosine,GL405,N2,0.3180,0.2482,0.67
guanosine 5'-diphosphate (GDP),GL405,N2,0.7475,0.4058,1.51
guanosine 5'-monophosphate (5'-GMP),GL405,N2,0.0020,0.0129,20.52
guanosine 3'-monophosphate (3'-GMP),GL405,N2,0.2843,0.2283,2.08
"guanosine-2',3'-cyclic monophosphate",GL405,N2,0.1216,0.1412,5.12
guanosine,GL405,N2,0.0893,0.1142,2.04
guanine,GL405,N2,0.0950,0.1182,0.44
1-methylguanine,GL405,N2,0.6926,0.3908,0.76
7-methylguanine,GL405,N2,0.0000,0.0013,0.09
7-methylguanosine,GL405,N2,0.5937,0.3577,1.07
N1-methylguanosine,GL405,N2,0.0690,0.0976,0.41
N2-methylguanosine,GL405,N2,0.0043,0.0211,0.19
"N2,N2-dimethylguanosine",GL405,N2,0.3603,0.2697,0.31
"N2,N2-dimethylguanine",GL405,N2,0.0003,0.0057,0.25
8-hydroxyguanine,GL405,N2,0.0343,0.0649,15.2
2'-deoxyguanosine 5'-monophosphate (dGMP),GL405,N2,0.2372,0.2105,1.6
2'-deoxyguanosine,GL405,N2,0.0004,0.0061,0.11
N-carbamoylaspartate,GL405,N2,0.6825,0.3905,1.41
dihydroorotate,GL405,N2,0.6609,0.3842,1.11
orotate,GL405,N2,0.6889,0.3905,1.21
orotidine,GL405,N2,0.1255,0.1434,0.45
uridine 5'-diphosphate (UDP),GL405,N2,0.1645,0.1675,1.9
uridine 5'-monophosphate (UMP),GL405,N2,0.0173,0.0461,5.72
uridine 3'-monophosphate (3'-UMP),GL405,N2,0.3451,0.2615,2.84
"uridine-2',3'-cyclic monophosphate",GL405,N2,0.0289,0.0598,4.43
uridine,GL405,N2,0.0749,0.1026,1.97
uracil,GL405,N2,0.6863,0.3905,0.63
pseudouridine,GL405,N2,0.1576,0.1641,0.39
"5,6-dihydrouridine",GL405,N2,0.7307,0.4000,0.53
2'-O-methyluridine,GL405,N2,0.2448,0.2129,0.45
5-methyluridine (ribothymidine),GL405,N2,0.0008,0.0082,0.13
"5,6-dihydrouracil",GL405,N2,0.7938,0.4218,0.69
2'-deoxyuridine 5'-monophosphate,GL405,N2,0.4567,0.3083,0.2
2'-deoxyuridine,GL405,N2,0.0007,0.0079,0.03
3-ureidopropionate,GL405,N2,0.0268,0.0563,0.1
beta-alanine,GL405,N2,0.2551,0.2163,0.55
3-(3-amino-3-carboxypropyl)uridine*,GL405,N2,0.0159,0.0454,0.62
cytidine diphosphate,GL405,N2,0.5357,0.3382,1.47
cytidine 5'-monophosphate (5'-CMP),GL405,N2,0.0065,0.0260,5.64
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),GL405,N2,0.2114,0.1971,2.02
"cytidine 2',3'-cyclic monophosphate",GL405,N2,0.0871,0.1129,3.14
cytidine,GL405,N2,0.4100,0.2902,1.6
cytosine,GL405,N2,0.8182,0.4271,0.58
3-methylcytidine,GL405,N2,0.1580,0.1641,0.44
5-methylcytidine,GL405,N2,0.3802,0.2783,0.35
2'-deoxycytidine 5'-monophosphate,GL405,N2,0.2775,0.2260,0.31
2'-deoxycytidine,GL405,N2,0.0008,0.0082,0.07
2'-O-methylcytidine,GL405,N2,0.2167,0.1994,2.1
thymidine 5'-monophosphate,GL405,N2,0.5717,0.3523,1.33
thymidine,GL405,N2,0.0008,0.0082,0.08
thymine,GL405,N2,0.0570,0.0872,0.12
"5,6-dihydrothymine",GL405,N2,0.0947,0.1182,0.27
3-aminoisobutyrate,GL405,N2,0.4950,0.3228,1.28
methylphosphate,GL405,N2,0.0332,0.0640,0.05
(3'-5')-adenylylcytidine,GL405,N2,0.0225,0.0531,6.42
(3'-5')-adenylylguanosine*,GL405,N2,0.1704,0.1697,3.51
(3'-5')-adenylyluridine,GL405,N2,0.4794,0.3157,2.44
(3'-5')-adenylyladenosine*,GL405,N2,0.0668,0.0951,4.5
(3'-5')-cytidylyladenosine,GL405,N2,0.0945,0.1182,5.71
(3'-5')-cytidylylcytidine*,GL405,N2,0.0256,0.0555,7.47
(3'-5')-cytidylylguanosine,GL405,N2,1.0000,0.4752,1
(3'-5')-cytidylyluridine*,GL405,N2,0.8664,0.4362,0.82
(3'-5')-guanylylcytidine,GL405,N2,0.2444,0.2129,2.35
(3'-5')-guanylyluridine,GL405,N2,1.0000,0.4752,1
(3'-5')-uridylylcytidine*,GL405,N2,0.0805,0.1089,4.1
(3'-5')-uridylyluridine,GL405,N2,1.0000,0.4752,1
(3'-5')-uridylyladenosine,GL405,N2,1.0000,0.4752,1
quinolinate,GL405,N2,0.0549,0.0867,0.43
nicotinate,GL405,N2,0.0323,0.0638,1.62
nicotinate ribonucleoside,GL405,N2,0.0010,0.0082,0.02
nicotinic acid mononucleotide (NaMN),GL405,N2,0.1802,0.1752,0.43
nicotinamide,GL405,N2,0.8799,0.4400,0.72
nicotinamide ribonucleotide (NMN),GL405,N2,0.2289,0.2086,1.73
nicotinamide riboside,GL405,N2,0.0838,0.1107,0.32
nicotinamide adenine dinucleotide (NAD+),GL405,N2,0.1406,0.1525,0.35
6-hydroxynicotinate,GL405,N2,0.9930,0.4752,0.51
trigonelline (N'-methylnicotinate),GL405,N2,0.3132,0.2450,0.51
riboflavin (vitamin B2),GL405,N2,0.0114,0.0359,1.76
flavin adenine dinucleotide (FAD),GL405,N2,0.6228,0.3697,0.79
flavin mononucleotide (FMN),GL405,N2,0.4530,0.3069,1.21
pantoate,GL405,N2,0.5070,0.3300,0.48
pantothenate,GL405,N2,0.8095,0.4257,1.03
pantethine,GL405,N2,0.0234,0.0533,0.15
pantetheine,GL405,N2,0.2657,0.2196,1.72
phosphopantetheine,GL405,N2,0.3774,0.2774,1.88
3'-dephosphocoenzyme A,GL405,N2,0.0177,0.0463,3.54
coenzyme A,GL405,N2,0.7476,0.4058,1.03
ascorbate (vitamin C),GL405,N2,0.8148,0.4271,1.24
dehydroascorbate,GL405,N2,0.7061,0.3935,1.11
threonate,GL405,N2,0.0049,0.0215,1.95
gulonate*,GL405,N2,0.1677,0.1694,0.58
biotin,GL405,N2,0.0213,0.0519,1.84
5-methyltetrahydrofolate (5MeTHF),GL405,N2,0.0018,0.0125,6.82
biopterin,GL405,N2,0.9694,0.4718,1.07
dihydrobiopterin,GL405,N2,0.1302,0.1474,0.6
pterin,GL405,N2,0.6447,0.3778,0.53
xanthopterin,GL405,N2,0.3698,0.2738,1.36
protoporphyrin IX,GL405,N2,0.0046,0.0214,0.03
heme,GL405,N2,0.1593,0.1648,56.93
biliverdin,GL405,N2,0.0014,0.0105,2.87
thiamin (vitamin B1),GL405,N2,0.7263,0.3985,0.98
thiamin monophosphate,GL405,N2,0.1353,0.1501,1.34
thiamin diphosphate,GL405,N2,0.9588,0.4691,0.74
carotene diol (1),GL405,N2,0.1015,0.1250,2.39
pyridoxamine,GL405,N2,0.8017,0.4248,0.9
pyridoxamine phosphate,GL405,N2,0.2923,0.2331,0.47
pyridoxal phosphate,GL405,N2,0.2698,0.2220,0.63
pyridoxal,GL405,N2,0.0048,0.0215,2.36
pyridoxate,GL405,N2,0.3824,0.2785,0.53
benzoate,GL405,N2,0.4575,0.3083,0.64
4-hydroxybenzoate,GL405,N2,0.0026,0.0158,0.26
catechol,GL405,N2,0.5239,0.3339,0.26
anthraniloyl-O-glucose,GL405,N2,0.0222,0.0529,9.98
1-methylxanthine,GL405,N2,0.1738,0.1712,0.25
2-piperidinone,GL405,N2,0.3101,0.2434,2.13
3-dehydroshikimate,GL405,N2,0.9208,0.4563,1.24
"2,3-dihydroxyisovalerate",GL405,N2,0.7493,0.4058,0.78
dipicolinate,GL405,N2,1.0000,0.4752,1
2-isopropylmalate,GL405,N2,0.8041,0.4248,0.76
3-formylindole,GL405,N2,0.5154,0.3326,0.47
3-hydroxyindolin-2-one,GL405,N2,0.4089,0.2900,1.76
gluconate,GL405,N2,0.6490,0.3791,1.86
ciliatine (2-aminoethylphosphonate),GL405,N2,0.3104,0.2434,0.16
ergothioneine,GL405,N2,0.4186,0.2934,0.22
erythritol,GL405,N2,0.2528,0.2148,0.59
quinate,GL405,N2,0.5732,0.3523,0.34
histidine betaine (hercynine)*,GL405,N2,0.0448,0.0774,0.12
homostachydrine*,GL405,N2,0.6875,0.3905,0.57
mannonate*,GL405,N2,0.6910,0.3905,0.64
stachydrine,GL405,N2,0.0810,0.1089,0.19
ethyl alpha-glucopyranoside,GL405,N2,0.1436,0.1544,0.32
methyl glucopyranoside (alpha + beta),GL405,N2,0.1275,0.1450,0.22
harmane,GL405,N2,0.5770,0.3526,1.12
2-ketogluconate,GL405,N2,0.9132,0.4535,0.37
"9,10-methylenehexadecanoate**",GL405,N2,0.0304,0.0620,3.74
2-dimethylaminoethanol,GL405,N2,0.7187,0.3953,1.13
3-indoleglyoxylic acid,GL405,N2,0.1503,0.1597,0.43
ethyl beta-glucopyranoside,GL405,N2,0.3615,0.2700,2
pyochelin,GL405,N2,0.6102,0.3664,0.2
lactobacillic acid,GL405,N2,0.0391,0.0699,3.59
7-chlorotryptophan,GL405,N2,0.7190,0.3953,0.41
pyrrolnitrin,GL405,N2,0.6061,0.3646,2.46
5-fluorouracil,GL405,N2,0.2930,0.2332,0.26
salicylate,GL405,N2,0.2609,0.2187,2.29
S-carboxymethyl-cysteine,GL405,N2,0.9654,0.4708,1
sulfate*,GL405,N2,0.1311,0.1480,2.31
O-sulfo-tyrosine,GL405,N2,0.4794,0.3157,0.81
ectoine,GL405,N2,0.8966,0.4471,0.34
glycerol 2-phosphate,GL405,N2,0.0021,0.0129,0.31
"2,4-di-tert-butylphenol",GL405,N2,0.0018,0.0126,3.18
thioproline,GL405,N2,0.0305,0.0620,2.19
glutamine_degradant*,GL405,N2,0.7372,0.4029,1.07
X-10445,GL405,N2,0.2246,0.2057,0.46
X-11580,GL405,N2,0.0260,0.0557,2.79
X-11612,GL405,N2,0.0400,0.0701,0.3
X-11615,GL405,N2,0.8501,0.4346,0.29
X-11787,GL405,N2,0.1076,0.1282,3.4
X-11795,GL405,N2,0.6415,0.3772,0.61
X-12026,GL405,N2,0.8618,0.4351,1.07
X-12100,GL405,N2,0.0005,0.0071,2.31
X-12101,GL405,N2,0.4042,0.2878,0.56
X-12411,GL405,N2,0.9446,0.4647,1.13
X-12462,GL405,N2,0.6897,0.3905,0.62
X-13507,GL405,N2,0.3338,0.2578,0.48
X-14056,GL405,N2,0.7858,0.4181,1.13
X-14254,GL405,N2,0.1351,0.1501,6.93
X-15161,GL405,N2,0.1227,0.1416,2.29
X-15245,GL405,N2,0.0696,0.0977,0.03
X-15461,GL405,N2,0.5719,0.3523,1.72
X-15520,GL405,N2,0.6991,0.3926,0.46
X-15853,GL405,N2,0.3666,0.2733,2.64
X-16938,GL405,N2,0.4644,0.3109,0.67
X-17009,GL405,N2,0.0000,0.0013,0.03
X-17335,GL405,N2,0.0039,0.0204,0.34
X-17761,GL405,N2,0.0010,0.0082,0.17
X-17877,GL405,N2,0.2515,0.2142,3.62
X-18278,GL405,N2,0.1864,0.1792,5.18
X-20100,GL405,N2,0.2645,0.2196,3.4
X-20172,GL405,N2,0.3041,0.2394,3.34
X-20716,GL405,N2,0.7157,0.3953,0.88
X-20747,GL405,N2,0.1409,0.1525,8.68
X-21353,GL405,N2,0.4392,0.3008,0.63
X-21607,GL405,N2,0.4282,0.2978,0.58
X-21796,GL405,N2,0.0462,0.0780,2.05
X-22062,GL405,N2,0.5363,0.3382,1.96
X-22776,GL405,N2,0.3006,0.2377,1.91
X-23109,GL405,N2,0.1714,0.1700,1.86
X-23587,GL405,N2,0.1063,0.1275,0.36
X-23593,GL405,N2,0.8531,0.4349,0.63
X-23639,GL405,N2,0.5633,0.3492,0.58
X-23648,GL405,N2,0.6786,0.3894,0.48
X-23654,GL405,N2,0.1531,0.1614,0.34
X-23662,GL405,N2,0.0337,0.0643,7.5
X-23672,GL405,N2,0.0000,0.0004,0.09
X-23739,GL405,N2,0.9959,0.4752,0.73
X-24243,GL405,N2,0.4770,0.3157,0.38
X-24425,GL405,N2,0.0820,0.1095,2.1
X-24456,GL405,N2,0.0168,0.0461,1.94
X-24608,GL405,N2,0.0183,0.0466,0.22
X-24697,GL405,N2,0.7189,0.3953,0.25
X-24728,GL405,N2,0.4407,0.3008,1.1
X-24729,GL405,N2,0.3703,0.2738,2.28
X-24807,GL405,N2,0.6194,0.3689,0.38
X-25004,GL405,N2,0.2794,0.2260,1.92
X-25009,GL405,N2,0.0111,0.0359,3.08
X-25026,GL405,N2,0.0176,0.0463,5.36
X-25080,GL405,N2,0.1139,0.1352,3.46
X-25102,GL405,N2,0.2366,0.2105,2.16
X-25109,GL405,N2,0.8039,0.4248,1.16
X-25111,GL405,N2,0.7476,0.4058,0.26
X-25180,GL405,N2,0.1277,0.1450,4.36
X-25551,GL405,N2,0.0183,0.0466,5.08
X-25563,GL405,N2,0.0182,0.0466,3.89
X-25594,GL405,N2,0.3390,0.2597,1.4
X-25837,GL405,N2,0.0028,0.0162,0.01
X-25936,GL405,N2,0.3686,0.2736,0.72
X-25940,GL405,N2,0.6965,0.3924,0.61
X-25948,GL405,N2,0.1156,0.1360,1.89
X-25955,GL405,N2,0.6139,0.3669,0.6
X-25984,GL405,N2,0.1841,0.1780,2.23
X-26008,GL405,N2,0.7843,0.4181,0.79
X-26094,GL405,N2,0.0663,0.0951,0.48
X-26095,GL405,N2,0.7808,0.4173,0.13
X-26127,GL405,N2,0.4129,0.2911,0.18
glycine,GL405,CK10,0.9031,0.5168,1.01
N-acetylglycine,GL405,CK10,0.4625,0.3821,0.71
sarcosine,GL405,CK10,0.1775,0.2343,0.38
dimethylglycine,GL405,CK10,0.7603,0.4729,0.57
betaine,GL405,CK10,0.7662,0.4738,1.17
betaine aldehyde,GL405,CK10,0.2666,0.2888,0.5
serine,GL405,CK10,0.617,0.4387,1.26
N-acetylserine,GL405,CK10,0.0222,0.0814,0.32
3-phosphoserine,GL405,CK10,0.0893,0.1709,0.34
threonine,GL405,CK10,0.2661,0.2888,1.4
N-acetylthreonine,GL405,CK10,0.067,0.1527,0.42
O-acetylhomoserine,GL405,CK10,0.2201,0.258,1.54
homoserine lactone,GL405,CK10,0.3475,0.3292,1.8
alanine,GL405,CK10,0.094,0.1741,1.44
N-acetylalanine,GL405,CK10,0.8315,0.4916,1.1
aspartate,GL405,CK10,0.721,0.4646,0.93
N-acetylaspartate (NAA),GL405,CK10,0.787,0.483,1.11
asparagine,GL405,CK10,0.0818,0.1689,5.44
N-acetylasparagine,GL405,CK10,0.1415,0.2131,0.51
glutamate,GL405,CK10,0.508,0.3977,0.81
glutamine,GL405,CK10,0.6424,0.447,1.31
alpha-ketoglutaramate*,GL405,CK10,0.2319,0.2657,0.5
N-acetylglutamate,GL405,CK10,0.6378,0.4459,0.79
N-acetylglutamine,GL405,CK10,0.218,0.257,0.47
4-hydroxyglutamate,GL405,CK10,0.8469,0.4963,0.67
"glutamate, gamma-methyl ester",GL405,CK10,0.0489,0.131,0.19
S-1-pyrroline-5-carboxylate,GL405,CK10,0.04,0.1176,3.39
propionylglutamine,GL405,CK10,0.0213,0.0808,0.17
histidine,GL405,CK10,0.0961,0.1752,1.78
1-methylhistidine,GL405,CK10,0.0058,0.038,0.34
3-methylhistidine,GL405,CK10,0.0013,0.016,0.27
N-acetylhistidine,GL405,CK10,0.1841,0.2387,1.76
N-acetyl-3-methylhistidine*,GL405,CK10,0.1627,0.2257,0.51
N-acetyl-1-methylhistidine*,GL405,CK10,0.0605,0.146,0.51
trans-urocanate,GL405,CK10,0.2616,0.2864,0.43
cis-urocanate,GL405,CK10,0.2107,0.2549,0.45
imidazole propionate,GL405,CK10,0.0785,0.1654,0.3
formiminoglutamate,GL405,CK10,0.1811,0.237,0.51
imidazole lactate,GL405,CK10,0.7053,0.4601,0.91
1-methyl-5-imidazoleacetate,GL405,CK10,0.8367,0.4931,0.92
1-ribosyl-imidazoleacetate*,GL405,CK10,1,0.541,1
4-imidazoleacetate,GL405,CK10,0.9879,0.541,1.06
N-acetylhistamine,GL405,CK10,0.6686,0.4528,0.77
histidine methyl ester,GL405,CK10,0.795,0.4846,0.89
lysine,GL405,CK10,0.0061,0.038,49.86
N2-acetyllysine,GL405,CK10,0.6372,0.4459,0.82
N6-acetyllysine,GL405,CK10,0.4439,0.3788,2.2
"N2,N6-diacetyllysine",GL405,CK10,0.9248,0.5228,0.9
N6-methyllysine,GL405,CK10,0.9662,0.5378,0.84
"N6,N6,N6-trimethyllysine",GL405,CK10,0.7507,0.4724,1.12
"hydroxy-N6,N6,N6-trimethyllysine*",GL405,CK10,0.1371,0.2083,1.57
5-hydroxylysine,GL405,CK10,0.5494,0.4093,1.56
fructosyllysine,GL405,CK10,0.0002,0.0051,7.9
saccharopine,GL405,CK10,0.3841,0.3449,1.38
2-aminoadipate,GL405,CK10,0.0144,0.0645,8.52
2-oxoadipate,GL405,CK10,0.2825,0.2952,3.4
pipecolate,GL405,CK10,0.0045,0.033,0.07
6-oxopiperidine-2-carboxylate,GL405,CK10,0.5568,0.4123,1.32
cadaverine,GL405,CK10,0.9241,0.5228,1.02
N-acetyl-cadaverine,GL405,CK10,0.0248,0.088,7.26
5-aminovalerate,GL405,CK10,0.4717,0.3856,0.54
"N,N,N-trimethyl-5-aminovalerate",GL405,CK10,0.7418,0.4724,0.69
phenylalanine,GL405,CK10,0.1072,0.1831,1.84
N-acetylphenylalanine,GL405,CK10,0.3332,0.3207,0.34
phenylpyruvate,GL405,CK10,0.0845,0.1689,0.17
phenyllactate (PLA),GL405,CK10,0.5579,0.4123,0.68
phenethylamine,GL405,CK10,0.002,0.0198,0.22
phenylacetate,GL405,CK10,0.1746,0.2315,0.5
2-hydroxyphenylacetate,GL405,CK10,0.4792,0.3886,0.57
4-hydroxyphenylacetate,GL405,CK10,0.0137,0.0639,0.23
tyrosine,GL405,CK10,0.0042,0.0314,2.94
N-acetyltyrosine,GL405,CK10,0.2929,0.3023,0.47
tyramine,GL405,CK10,0.8414,0.4946,1.01
4-hydroxyphenylpyruvate,GL405,CK10,0.099,0.1792,0.32
homogentisate,GL405,CK10,0.7458,0.4724,2.05
3-(4-hydroxyphenyl)lactate,GL405,CK10,0.2235,0.2597,1.77
dopamine,GL405,CK10,0.1104,0.1833,2.53
o-tyrosine,GL405,CK10,0.0517,0.1322,2.41
O-methyltyrosine,GL405,CK10,0.2602,0.2856,1.47
gentisate,GL405,CK10,0.4687,0.3851,1.56
N-formylphenylalanine,GL405,CK10,0.3857,0.3449,0.63
tryptophan,GL405,CK10,0.018,0.0719,2.23
N-acetyltryptophan,GL405,CK10,0.2766,0.292,0.37
C-glycosyltryptophan,GL405,CK10,0.0431,0.1233,1.51
oxindolylalanine,GL405,CK10,0.055,0.1372,2.38
N-formylkynurenine,GL405,CK10,0.5145,0.3998,0.77
kynurenine,GL405,CK10,0.0407,0.1189,4.42
kynurenate,GL405,CK10,0.2266,0.2615,0.34
N-formylanthranilic acid,GL405,CK10,0.5971,0.431,1.24
anthranilate,GL405,CK10,0.0321,0.1041,3.09
picolinate,GL405,CK10,0.7562,0.4726,0.91
N-acetylserotonin,GL405,CK10,0.0214,0.0808,0.18
indolelactate,GL405,CK10,0.2958,0.3038,0.57
indoleacetate,GL405,CK10,0.5984,0.431,0.62
tryptophol,GL405,CK10,0.0039,0.0314,0.07
indole-3-carboxylate,GL405,CK10,0.0396,0.1176,0.38
leucine,GL405,CK10,0.0019,0.0198,4.23
N-acetylleucine,GL405,CK10,0.6952,0.4564,1.19
4-methyl-2-oxopentanoate,GL405,CK10,0.5072,0.3977,1.61
alpha-hydroxyisocaproate,GL405,CK10,0.0008,0.0107,8.52
isovaleryl/2-methylbutyryl CoA,GL405,CK10,0.1951,0.2453,0.18
isovalerate (i5:0),GL405,CK10,0.3904,0.3476,1.57
isovalerylglycine,GL405,CK10,0.6482,0.4477,0.77
isovalerylcarnitine (C5),GL405,CK10,0.448,0.3799,0.79
beta-hydroxyisovalerate,GL405,CK10,0.3529,0.3304,0.64
beta-hydroxyisovaleroylcarnitine,GL405,CK10,0.0042,0.0314,2.73
beta-hydroxyisovalerylglycine,GL405,CK10,0.3051,0.3051,0.54
3-methylglutaconate,GL405,CK10,0.2699,0.2903,0.56
isoleucine,GL405,CK10,0.0054,0.0369,3.5
N-acetylisoleucine,GL405,CK10,0.4497,0.3801,1.34
3-methyl-2-oxovalerate,GL405,CK10,0.3011,0.3051,1.98
2-hydroxy-3-methylvalerate,GL405,CK10,0.662,0.4518,1.34
2-methylbutyrylcarnitine (C5),GL405,CK10,0.2734,0.2907,1.66
tiglylcarnitine (C5:1-DC),GL405,CK10,0.09,0.1713,2.02
ethylmalonate,GL405,CK10,0.0724,0.1603,2.21
methylsuccinate,GL405,CK10,0.8071,0.4874,0.81
valine,GL405,CK10,0.0086,0.0477,3.35
N-acetylvaline,GL405,CK10,0.6876,0.4552,1.2
3-methyl-2-oxobutyrate,GL405,CK10,0.8481,0.4963,1.14
alpha-hydroxyisovalerate,GL405,CK10,0.2904,0.3004,1.64
isobutyrylcarnitine (C4),GL405,CK10,0.9751,0.5394,1.03
3-hydroxyisobutyrate,GL405,CK10,0.1269,0.1988,2.47
methionine,GL405,CK10,0.0144,0.0645,3.11
N-acetylmethionine,GL405,CK10,0.5649,0.4163,1.34
N-formylmethionine,GL405,CK10,0.3523,0.3304,1.71
methionine sulfone,GL405,CK10,0.2441,0.2725,2.15
methionine sulfoxide,GL405,CK10,0.752,0.4724,0.79
N-acetylmethionine sulfoxide,GL405,CK10,0.3166,0.3076,0.65
S-adenosylmethionine (SAM),GL405,CK10,1,0.541,1
S-adenosylhomocysteine (SAH),GL405,CK10,0.3669,0.3387,7.19
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",GL405,CK10,0.0337,0.1076,0.46
2-hydroxy-4-(methylthio)butanoic acid,GL405,CK10,0.0152,0.0659,6.41
cystathionine,GL405,CK10,0.9243,0.5228,0.98
cysteine,GL405,CK10,0.0349,0.1105,2.94
N-acetylcysteine,GL405,CK10,0.6325,0.444,1.36
S-methylcysteine,GL405,CK10,0.3045,0.3051,0.38
S-methylcysteine sulfoxide,GL405,CK10,0.1894,0.2403,0.17
cysteine s-sulfate,GL405,CK10,0.642,0.447,2.24
cystine,GL405,CK10,0.9337,0.5271,0.46
lanthionine,GL405,CK10,0.6516,0.4477,0.88
hypotaurine,GL405,CK10,0.1511,0.2184,2.39
taurine,GL405,CK10,0.4003,0.3549,1.73
N-acetyltaurine,GL405,CK10,0.0004,0.0067,0.11
3-sulfo-alanine,GL405,CK10,0.8873,0.5135,1.85
cyano-alanine,GL405,CK10,0.1422,0.2131,3.11
arginine,GL405,CK10,0.0813,0.1686,1.68
argininosuccinate,GL405,CK10,0.0248,0.088,0.22
urea,GL405,CK10,0.6689,0.4528,0.7
ornithine,GL405,CK10,0.0356,0.1105,4.11
3-amino-2-piperidone,GL405,CK10,0.8726,0.507,0.9
2-oxoarginine*,GL405,CK10,0.3945,0.3505,0.59
citrulline,GL405,CK10,0.2325,0.2657,0.35
homoarginine,GL405,CK10,0.1437,0.2137,3.56
